1	1	-0.5	0.333779059	0
1	2	-0.45	0.310304271	0
1	3	-0.4	0.28768137	0
1	4	-0.35	0.266127694	0
1	5	-0.3	0.245924538	0
1	6	-0.25	0.227432092	0
1	7	-0.2	0.211100412	0
1	8	-0.15	0.197466354	0
1	9	-0.1	0.187120516	0
1	10	-0.05	0.1806288	0
1	11	0	0.178412412	0
				
2	1	0	0.178412412	0
2	2	0.05	0.1806288	0
2	3	0.1	0.187120516	0
2	4	0.15	0.197466354	0
2	5	0.2	0.211100412	0
2	6	0.25	0.227432092	0
2	7	0.3	0.245924538	0
2	8	0.35	0.266127694	0
2	9	0.4	0.28768137	0
2	10	0.45	0.310304271	0
2	11	0.5	0.333779059	0
				
3	1	0.5	0.333779059	0
3	2	0.5	0	0
				
4	1	0.5	0	0
4	2	0	0	0
				
5	1	0	0	0
5	2	-0.5	0	0
				
6	1	-0.5	0	0
6	2	-0.5	0.333779059	0
				
7	1	0	0	0
7	2	0	0.178412	0
